Composite,LLE_1,LLE_2,LLE_3,LLE_4
CsSnI3,0.011637148011555833,-0.03568487892202185,-0.028701500004323855,0.06377494548292233
CsSnBr0.3I2.7,0.011236559932236186,-0.03816690780941406,-0.0317723225443894,0.056722829977285776
CsSnBr1.5I1.5,0.008837455719879563,-0.04639414949765247,-0.04687317629512538,0.027959199451415073
CsSnBr2.7I0.3,0.006809863012032348,-0.05506658767449469,-0.06202922723255072,-0.0011090963568429711
CsSnBr3,0.005715022529687173,-0.05702576203606775,-0.06655319165125828,-0.007308307792717197
CsSnBrI2,0.009506387835410605,-0.04277888565241006,-0.040889374339203234,0.040174999004982545
CsSnBr2I,0.007255159391386021,-0.04948157557769778,-0.0539402009776853,0.016853761331655896
MAPbI3,-0.036007170669086666,0.006586621085668454,0.01751554519205328,-0.0013882326952161786
MAPbBr3,-0.02526185530350675,-0.035455649830928596,-0.025603720193497177,-0.06336766491987898
Cs0.05FA0.788MA0.162PbBr0.51I2.49,0.015090590049164177,0.016095523519544047,-0.00014899600178277167,-0.0055371186535426485
Cs0.05FA0.788GU0.032MA0.129PbBr0.51I2.49,0.01603404291286795,0.016048299942641654,-0.0003248935725801806,-0.0038729335494650397
Cs0.05FA0.788GU0.065MA0.097PbBr0.51I2.49,0.016962037068015485,0.01595465821555831,-0.0005183683764022849,-0.002310989846626757
Cs0.05FA0.788GU0.097MA0.065PbBr0.51I2.49,0.017863375309748793,0.015876088752665787,-0.0007049604085809914,-0.0008101119531030287
Cs0.05FA0.788GU0.129MA0.032PbBr0.51I2.49,0.018814349647682794,0.015783459488731142,-0.0008937792199535468,0.0007028046164688991
Cs0.05FA0.788GU0.162PbBr0.51I2.49,0.019678124083261445,0.01572121423306975,-0.00106963870641512,0.002199413870647579
MAPbBr0.09I2.91,-0.035409121166060376,0.005119950377862666,0.01618017240301191,-0.0031661154180315635
MAPbBr0.3I2.7,-0.034300252243842234,0.0018326745465352236,0.013089669287873246,-0.007481570460287299
MAPbBr0.6I2.4,-0.03289016208556557,-0.0028057275885582157,0.008678477087695273,-0.013726190411403542
MAPbBr1.2I1.8,-0.030183314640050963,-0.012033342086175434,-0.0001152210350284426,-0.02644784295214491
MAPbBr1.8I1.2,-0.028537537081664035,-0.01996973715813607,-0.008772519759414758,-0.038654777517685986
FA0.85MA0.15PbBr0.45I2.55,0.017218105188884687,0.0186848135286511,0.0016038635464755752,-0.005737676287139042
