basic elements
((CH3)3S)
(1.3-Pr(NH3)2)
(3AMP)
(3AMPY)
(4AMP)
(4AMPY)
(4ApyH)
(4FPEA)
(5-AVA)
(5-AVAI)
(6-ACA)
(ALA)
(APMim)
(AVA)
(Ace)
(Ada)
(Anyl)
(BDA)
(BEA)
(BF4)
(BIM)
(BYA)
(BZA)
(BdA)
(Br-PEA)
(BzDA)
(C6H4NH2)
(CH3ND3)
(CHMA)
(CIEA)
(CPEA)
(Cl-PEA)
(DAP)
(DAT)
(DMA)
(EDA)
(F-PEA)
(F3EA)
(GABA)
(H-PEA)
(HAD)
(HEA)
(HdA)
(IEA)
(ImEA)
(NEA)
(NH4)
(NMA)
(OdA)
(PBA)
(PDA)
(PDMA)
(PEA)
(PEI)
(PF6)
(PGA)
(PMA)
(PTA)
(PyEA)
(PyrEA)
(SCN)
(TBA)
(TEA)
(TFEA)
(THM)
(TMA)
(ThMA)
(f-PEA)
(iPA)
(iso-BA)
(mF1PEA)
(n-C3H7NH3)
(oF1PEA)
(pF1PEA)
AN
Aa
Ag
BA
BDA
BE
BU
Ba
Bi
Br
Ca
Cl
Co
Cs
Cu
DI
EA
EDA
Eu
F
FA
Fe
GA
GU
Ge
HA
HDA
Hg
I
IA
IM
In
K
La
Li
MA
Mg
Mn
Na
Nb
Ni
O
PA
PDA
PF6
PN
PR
Pb
Rb
S
Sb
Sm
Sn
Sr
TN
Tb
Ti
Y
Zn
